Portfolio_ID,Window_Start,Window_End,Vol,VaR95,MaxDD,DivRatio,Skewness,Kurtosis,RollingVol20,RollingVol60,Sharpe,Sortino,Beta,Label
NIFTY_IT_ETF,2021-03-19,2021-09-22,0.16538667433420484,0.012607779447562105,0.07634052644280528,1.3133532199631044,0.12139370572584722,0.949598276721237,0.1543804807019296,0.15267604086481493,4.095834811816367,7.09568705460079,0.9999999999999999,Low
NIFTY_IT_ETF,2021-04-23,2021-10-22,0.1677358410185241,0.012888616562547039,0.0576800333957987,1.3407174227148908,-0.1264205387699389,0.40686809761315557,0.25807486384991657,0.19498883591302596,3.444504192241221,5.700606097695271,0.9999999999999997,Low
NIFTY_IT_ETF,2021-05-25,2021-11-24,0.17707254368717595,0.014303480674392322,0.06489620282386176,1.306755446168943,-0.08987280828349621,0.1250250963102073,0.18053191871069532,0.20291106660863267,3.130229009697204,5.2326454546901635,1.0000000000000002,Low
NIFTY_IT_ETF,2021-06-23,2021-12-23,0.18868754376529698,0.015863576565303548,0.0648962028238615,1.2849768251590323,-0.17943971391016378,-0.10265188843026918,0.20566452053283338,0.2097300907267422,2.8212220040378506,4.6857079504956225,1.0000000000000004,Low
NIFTY_IT_ETF,2021-07-23,2022-01-21,0.1888547038706823,0.018648945972198187,0.0801474568828453,1.3019504959611776,-0.40083465016310965,-0.2596258699706864,0.1776161193264945,0.1896073595842894,2.1536202158232247,3.3498212156552727,1.0000000000000002,Low
NIFTY_IT_ETF,2021-08-24,2022-02-22,0.21153318241157973,0.021495587400314965,0.1454004008727134,1.2489802999584114,-0.32195674468583,-0.1935594728926482,0.2621770651668714,0.22710159160608206,0.21452078215980758,0.32922187143412623,1.0000000000000002,Medium
NIFTY_IT_ETF,2021-09-23,2022-03-25,0.2294218727267044,0.025336601341950978,0.16967946996455957,1.213408911588899,-0.4199244470745858,0.15825015382640917,0.2758456344449364,0.24976218704148698,0.18942932776341248,0.2726422328276725,1.0000000000000004,Medium
NIFTY_IT_ETF,2021-10-25,2022-04-27,0.22597585223472977,0.02554361304403007,0.1949734132191521,1.1926641549973003,-0.5163789835851962,0.7515642633955877,0.21983383470900286,0.24795786929217564,-0.8037234560136743,-1.07907057432738,0.9999999999999999,High
NIFTY_IT_ETF,2021-11-25,2022-05-27,0.24913760036736896,0.028394276950948538,0.29177285775830475,1.163513299665587,-0.6349257210028624,0.8855240945727876,0.31591056855952654,0.25628199740228447,-1.3058122536243242,-1.7371708147959286,1.0000000000000004,High
NIFTY_IT_ETF,2021-12-24,2022-06-27,0.2620104359267819,0.029644910963973273,0.310089328724632,1.1481953755365988,-0.4108325964585236,0.6378141145047285,0.27150885222360904,0.28287630494094435,-1.8925759793050783,-2.625977208840106,0.9999999999999996,High
NIFTY_IT_ETF,2022-01-24,2022-07-26,0.2700729513076892,0.03179638705621189,0.2652941734035275,1.1246408740360136,-0.3179954019467633,0.5184431067051043,0.2466959765558136,0.28638487931794,-1.7947088795792947,-2.5573153665987127,1.0000000000000007,High
NIFTY_IT_ETF,2022-02-23,2022-08-26,0.25832321834058114,0.027932838857161232,0.26529417340352796,1.1182320157062764,-0.40328309092368236,0.8746309176566434,0.18969244486658463,0.23695812753191978,-1.105990263563202,-1.570533882076914,0.9999999999999996,High
NIFTY_IT_ETF,2022-03-28,2022-09-27,0.2569734835821789,0.03179638705621189,0.2636308943865392,1.1099794108268957,-0.3440263159590272,0.6924201124013418,0.24957995699088423,0.23869548215258687,-2.007481928056241,-2.868266222569303,1.0,High
NIFTY_IT_ETF,2022-04-28,2022-10-28,0.2509640702457648,0.027932838857161232,0.16238602653589887,1.1058739350865336,-0.3619764453430059,0.7424889350850239,0.17492394585554918,0.20786521782868536,-0.5618795673100563,-0.8196460256278865,1.0000000000000004,High
NIFTY_IT_ETF,2022-05-30,2022-11-29,0.23086010792617087,0.024192198830074604,0.117219391294927,1.1084901108656187,-0.08648473516003537,0.6156846404615952,0.19938305313892518,0.1995460549280302,0.7539210729942855,1.1389992830069577,0.9999999999999998,Medium
NIFTY_IT_ETF,2022-06-28,2022-12-28,0.21217530901848577,0.02139232716267379,0.11721939129492713,1.126639643123222,-0.10728382309985675,0.8559081832200306,0.18890371903355968,0.19101391107046997,0.2607103218567406,0.383842538934824,1.0000000000000007,Medium
NIFTY_IT_ETF,2022-07-27,2023-01-27,0.20085967431951857,0.0200577573109824,0.11721939129492696,1.130341762642577,-0.1676128684309165,1.0494693005195312,0.175697348690457,0.1857025802300378,0.9202280565686224,1.3483955401660668,0.9999999999999997,Medium
NIFTY_IT_ETF,2022-08-29,2023-02-27,0.1986106427433851,0.0200577573109824,0.10000861600617407,1.1476088863432876,-0.19724729305753697,1.030618739513912,0.17881897757690945,0.1790623080279435,0.48840212911962094,0.7130205809304226,0.9999999999999997,Medium
NIFTY_IT_ETF,2022-09-28,2023-03-29,0.17588201371871484,0.016225005596291066,0.11201262046704819,1.2030618096825234,0.324994110915891,0.7533000498024149,0.14087035459641983,0.1677357790531915,0.5525094471573695,1.0073489982415558,0.9999999999999998,Medium
NIFTY_IT_ETF,2022-10-31,2023-05-04,0.18946718079722694,0.017036445845456112,0.15149053537176108,1.1771770449894556,-0.24653081578327082,1.9914130375074652,0.23820490579786854,0.1923417624824368,-0.172786868829273,-0.25728447678629296,1.0,Medium
NIFTY_IT_ETF,2022-11-30,2023-06-02,0.17839524319098496,0.017036445845456112,0.15149053537176158,1.2013093101495838,-0.5842077125999254,2.0716128076290667,0.12418930856981555,0.17901006726414498,-0.43079747466823115,-0.6011074780718703,1.0,Medium
NIFTY_IT_ETF,2022-12-29,2023-07-04,0.17187713957457534,0.015582731281370438,0.15149053537176127,1.2088707997405659,-0.48963363667835536,2.4897728982560583,0.1514242462239948,0.17696159701105563,0.579126724982204,0.8449458555094358,0.9999999999999997,Medium
NIFTY_IT_ETF,2023-01-30,2023-08-02,0.18586250513929212,0.015582731281370438,0.15149053537176138,1.2084848355515139,-0.3592283942789245,3.577729501387237,0.2541439632056506,0.18214867480504388,0.22630924670288655,0.3162783726607724,1.0000000000000007,Medium
NIFTY_IT_ETF,2023-02-28,2023-09-01,0.1775255467896678,0.013762654674328904,0.11417855474926653,1.2149236746964363,-0.45788031419477776,4.760428795458832,0.11175068588122188,0.17608706123167445,0.6228326717273874,0.8303931823450328,0.9999999999999998,Medium
NIFTY_IT_ETF,2023-03-31,2023-10-04,0.17580841282872545,0.01366374866309591,0.08576394313521608,1.207285049562642,-0.5890514975143937,5.299437507146737,0.11912768582522511,0.1762655384157274,1.4210596037424281,1.80069484313498,1.0000000000000002,Low
